Rank,Title,Name of actors,Release date,Rating,Type,Duration,Region,Name of director,Cumulative income
1,我不是药神,"徐峥,周一围,王传君",2018/7/5,9.6,剧情，喜剧,117分钟,中国大陆,文牧野,310002万
2,肖申克的救赎,"蒂姆·罗宾斯,摩根·弗里曼,鲍勃·冈顿",1994/9/10,9.5,剧情，犯罪,142分钟,美国,弗兰克·德拉邦特,暂无
3,绿皮书,"维果·莫腾森,马赫沙拉·阿里,琳达·卡德里尼",2019/3/1,9.5,剧情，喜剧，传记,130分钟,美国,彼得·法雷里,47872万
4,海上钢琴师,"蒂姆·罗斯,比尔·努恩 ,克兰伦斯·威廉姆斯三世",2019/11/15,9.3,剧情，爱情，音乐,126分钟,意大利,朱塞佩·托纳多雷,14376万
5,哪吒之魔童降世,"吕艳婷,囧森瑟夫,瀚墨",2019/7/26,9.6,动画，喜剧，奇幻,110分钟,中国大陆,饺子,66507万
6,霸王别姬,"张国荣,张丰毅,巩俐",1993/7/26,9.4,剧情，爱情,171分钟,中国香港,陈凯歌,5万
7,小偷家族,"中川雅也,安藤樱,松冈茉优",2018/8/3,8.1,剧情，犯罪,121分钟,日本,是枝裕和,9675万
8,美丽人生,"罗伯托·贝尼尼,朱斯蒂诺·杜拉诺,赛尔乔·比尼·布斯特里克",2020/1/3,9.3,战争，剧情，爱情,116分钟,意大利,罗伯托·贝尼尼,5979万
9,这个杀手不太冷,"让·雷诺,加里·奥德曼,娜塔莉·波特曼",1994/9/14,9.4,剧情，动作，犯罪,110分钟,法国,吕克·贝松,暂无
10,盗梦空间,"莱昂纳多·迪卡普里奥,渡边谦,约瑟夫·高登-莱维特",2010/9/1,9,动作，悬疑，惊悚，科幻,148分钟,英国,克里斯托弗·诺兰,49620万
11,阿甘正传,"汤姆·汉克斯,罗宾·怀特,加里·西尼斯",1994/7/6,9.4,剧情，爱情,142分钟,美国,罗伯特·泽米吉斯,暂无
12,千与千寻,"柊瑠美,周冬雨,入野自由",2019/6/21,9.3,动画，冒险，奇幻，家庭,125分钟,日本,宫崎骏,48828万
13,星际穿越,"马修·麦康纳,安妮·海瑟薇,杰西卡·查斯坦",2014/11/12,9.3,剧情，科幻，冒险,169分钟,美国,克里斯托弗·诺兰,87697万
14,楚门的世界,"金·凯瑞,劳拉·琳妮,诺亚·艾默里奇",1998,8.9,剧情,103分钟,美国,彼得·威尔,暂无
15,触不可及,"弗朗索瓦·克鲁塞,奥玛·希,安娜·勒尼",2011/11/2,9.1,剧情，喜剧,112分钟,法国,奥利维埃·纳卡什，埃里克·托莱达诺,暂无
16,辛德勒的名单,"连姆·尼森,拉尔夫·费因斯,本·金斯利",1993/11/30,9.2,剧情，历史，战争,195分钟,美国,史蒂文·斯皮尔伯格,暂无
17,情书,"中山美穗,丰川悦司,酒井美纪",1999/3/1,8.9,剧情，爱情,116分钟,日本,岩井俊二,暂无
18,寻梦环游记,"安东尼·冈萨雷斯,本杰明·布拉特,盖尔·加西亚·贝纳尔",2017/11/24,9.6,动画，冒险，家庭,105分钟,美国,李·昂克里奇，阿德里安·莫利纳,123008万
19,摔跤吧！爸爸,"阿米尔·汗,沙克希·坦沃,法缇玛·萨那·纱卡",2017/5/5,9.8,喜剧，动作，家庭,140分钟,印度,涅提·蒂瓦里,129932万
20,何以为家,"赞恩·阿尔·拉菲亚,约丹诺斯·希费罗,博鲁瓦蒂夫·特雷杰·班科尔",2019/4/29,9.3,剧情,116分钟,黎巴嫩,娜丁·拉巴基,37684万
